"NOME_MUN","RACA_COR","NU_ANO","CASOS"
"Barra do Piraí","Branca","2017",2
"Barra do Piraí","Branca","2018",7
"Barra do Piraí","Branca","2019",65
"Barra do Piraí","Branca","2020",6
"Barra do Piraí","Branca","2021",135
"Barra do Piraí","Branca","2022",1
"Barra do Piraí","Branca","2023",30
"Barra do Piraí","Branca","2024",391
"Barra do Piraí","Branca","2025",3
"Barra do Piraí","Preta","2015",75
"Barra do Piraí","Preta","2016",146
"Barra do Piraí","Preta","2017",3
"Barra do Piraí","Preta","2018",3
"Barra do Piraí","Preta","2019",11
"Barra do Piraí","Preta","2020",4
"Barra do Piraí","Preta","2021",54
"Barra do Piraí","Preta","2022",1
"Barra do Piraí","Preta","2023",7
"Barra do Piraí","Preta","2024",221
"Barra do Piraí","Preta","2025",3
"Barra do Piraí","Amarela","2015",1
"Barra do Piraí","Amarela","2016",106
"Barra do Piraí","Amarela","2017",0
"Barra do Piraí","Amarela","2018",0
"Barra do Piraí","Amarela","2019",0
"Barra do Piraí","Amarela","2020",0
"Barra do Piraí","Amarela","2021",6
"Barra do Piraí","Amarela","2022",0
"Barra do Piraí","Amarela","2023",0
"Barra do Piraí","Amarela","2024",17
"Barra do Piraí","Amarela","2025",0
"Barra do Piraí","Parda","2015",122
"Barra do Piraí","Parda","2016",176
"Barra do Piraí","Parda","2017",4
"Barra do Piraí","Parda","2018",11
"Barra do Piraí","Parda","2019",41
"Barra do Piraí","Parda","2020",3
"Barra do Piraí","Parda","2021",153
"Barra do Piraí","Parda","2022",1
"Barra do Piraí","Parda","2023",13
"Barra do Piraí","Parda","2024",596
"Barra do Piraí","Parda","2025",12
"Barra do Piraí","Indígena","2015",1
"Barra do Piraí","Indígena","2016",3
"Barra do Piraí","Indígena","2017",0
"Barra do Piraí","Indígena","2018",0
"Barra do Piraí","Indígena","2019",2
"Barra do Piraí","Indígena","2020",0
"Barra do Piraí","Indígena","2021",2
"Barra do Piraí","Indígena","2022",0
"Barra do Piraí","Indígena","2023",0
"Barra do Piraí","Indígena","2024",5
"Barra do Piraí","Indígena","2025",0
"Barra do Piraí","Ignorado","2015",1427
"Barra do Piraí","Ignorado","2016",935
"Barra do Piraí","Ignorado","2017",11
"Barra do Piraí","Ignorado","2018",11
"Barra do Piraí","Ignorado","2019",82
"Barra do Piraí","Ignorado","2020",4
"Barra do Piraí","Ignorado","2021",137
"Barra do Piraí","Ignorado","2022",1
"Barra do Piraí","Ignorado","2023",5
"Barra do Piraí","Ignorado","2024",769
"Barra do Piraí","Ignorado","2025",1
"Barra Mansa","Branca","2015",880
"Barra Mansa","Branca","2016",338
"Barra Mansa","Branca","2017",1
"Barra Mansa","Branca","2018",1
"Barra Mansa","Branca","2019",101
"Barra Mansa","Branca","2020",18
"Barra Mansa","Branca","2021",306
"Barra Mansa","Branca","2022",3
"Barra Mansa","Branca","2023",34
"Barra Mansa","Branca","2024",784
"Barra Mansa","Branca","2025",38
"Barra Mansa","Preta","2015",86
"Barra Mansa","Preta","2016",29
"Barra Mansa","Preta","2017",0
"Barra Mansa","Preta","2018",0
"Barra Mansa","Preta","2019",21
"Barra Mansa","Preta","2020",3
"Barra Mansa","Preta","2021",88
"Barra Mansa","Preta","2022",3
"Barra Mansa","Preta","2023",6
"Barra Mansa","Preta","2024",127
"Barra Mansa","Preta","2025",21
"Barra Mansa","Amarela","2015",0
"Barra Mansa","Amarela","2016",0
"Barra Mansa","Amarela","2017",0
"Barra Mansa","Amarela","2018",0
"Barra Mansa","Amarela","2019",0
"Barra Mansa","Amarela","2020",0
"Barra Mansa","Amarela","2021",0
"Barra Mansa","Amarela","2022",0
"Barra Mansa","Amarela","2023",0
"Barra Mansa","Amarela","2024",2
"Barra Mansa","Amarela","2025",0
"Barra Mansa","Parda","2015",104
"Barra Mansa","Parda","2016",28
"Barra Mansa","Parda","2017",1
"Barra Mansa","Parda","2018",1
"Barra Mansa","Parda","2019",45
"Barra Mansa","Parda","2020",4
"Barra Mansa","Parda","2021",136
"Barra Mansa","Parda","2022",2
"Barra Mansa","Parda","2023",3
"Barra Mansa","Parda","2024",305
"Barra Mansa","Parda","2025",18
"Barra Mansa","Indígena","2015",0
"Barra Mansa","Indígena","2016",0
"Barra Mansa","Indígena","2017",0
"Barra Mansa","Indígena","2018",0
"Barra Mansa","Indígena","2019",0
"Barra Mansa","Indígena","2020",0
"Barra Mansa","Indígena","2021",0
"Barra Mansa","Indígena","2022",0
"Barra Mansa","Indígena","2023",0
"Barra Mansa","Indígena","2024",0
"Barra Mansa","Indígena","2025",1
"Barra Mansa","Ignorado","2015",67
"Barra Mansa","Ignorado","2016",4
"Barra Mansa","Ignorado","2017",0
"Barra Mansa","Ignorado","2018",0
"Barra Mansa","Ignorado","2019",71
"Barra Mansa","Ignorado","2020",2
"Barra Mansa","Ignorado","2021",247
"Barra Mansa","Ignorado","2022",7
"Barra Mansa","Ignorado","2023",2
"Barra Mansa","Ignorado","2024",2088
"Barra Mansa","Ignorado","2025",60
"Belford Roxo","Branca","2015",36
"Belford Roxo","Branca","2016",42
"Belford Roxo","Branca","2017",1
"Belford Roxo","Branca","2018",6
"Belford Roxo","Branca","2019",44
"Belford Roxo","Branca","2020",1
"Belford Roxo","Branca","2021",10
"Belford Roxo","Branca","2022",2
"Belford Roxo","Branca","2023",4
"Belford Roxo","Branca","2024",17
"Belford Roxo","Branca","2025",1
"Belford Roxo","Preta","2015",16
"Belford Roxo","Preta","2016",9
"Belford Roxo","Preta","2017",0
"Belford Roxo","Preta","2018",2
"Belford Roxo","Preta","2019",29
"Belford Roxo","Preta","2020",2
"Belford Roxo","Preta","2021",8
"Belford Roxo","Preta","2022",2
"Belford Roxo","Preta","2023",0
"Belford Roxo","Preta","2024",7
"Belford Roxo","Preta","2025",0
"Belford Roxo","Amarela","2015",1
"Belford Roxo","Amarela","2016",1
"Belford Roxo","Amarela","2017",0
